o:id,o:resource_class,schema:sameAs,jdc:valeurUtilite,jdc:hasRencontre,dcterms:title,foaf:firstName,foaf:lastName,foaf:givenName,foaf:homepage,schema:relatedLink
62283,foaf:Person,,,,Maroua Meddeb,Maroua,Meddeb,Maroua Meddeb,,
61288,foaf:Person,,,,Guy Melançon,Guy,Melançon,Guy Melançon,,
62142,foaf:Person,,,,Sandra Bourdier Mellot,Sandra Bourdier,Mellot,Sandra Bourdier Mellot,,
61070,foaf:Person,,,,D. Memmi,D.,Memmi,D. Memmi,,
62486,foaf:Person,,10,30,Bruno Menon,Bruno,Menon,Bruno Menon,,
61198,foaf:Person,,,,F. Merceur,F.,Merceur,F. Merceur,,
62500,foaf:Person,,20,30,Arnaud Mercier,Arnaud,Mercier,Arnaud Mercier,,
62134,foaf:Person,,,,Jean Mercier,Jean,Mercier,Jean Mercier,,
62413,foaf:Person,,,,Mathieu Mercuriali,Mathieu,Mercuriali,Mathieu Mercuriali,,
62763,foaf:Person,,,,Bruno Mermet,Bruno,Mermet,Bruno Mermet,,
62690,foaf:Person,,,,Jennifer C. Merriman,Jennifer C.,Merriman,Jennifer C. Merriman,,
62183,foaf:Person,,20,10,Louise Merzeau,Louise,Merzeau,Louise Merzeau,,
61241,foaf:Person,,,,Eléonore Message-Chazel,Eléonore,Message-Chazel,Eléonore Message-Chazel,,
62278,foaf:Person,,,,Jean-Guy Meunier,Jean-Guy,Meunier,Jean-Guy Meunier,,
62155,foaf:Person,,50,70,Jean-Marc Meunier,Jean-Marc,Meunier,Jean-Marc Meunier,,
61557,foaf:Person,,,,Loïc Le Meur,Loïc Le,Meur,Loïc Le Meur,,
61558,foaf:Person,,,,C. Meyer,C.,Meyer,C. Meyer,,
61069,foaf:Person,,,,J. Meyer,J.,Meyer,J. Meyer,,
62231,foaf:Person,,,,François Miahle,François,Miahle,François Miahle,,
541231,foaf:Person,,,,Konstantinos Michalakis,Konstantinos,Michalakis,Konstantinos Michalakis,,
61933,foaf:Person,,,,Athénaïs Michelet,Athénaïs,Michelet,Athénaïs Michelet,,
61932,foaf:Person,,,,Jules Michelet,Jules,Michelet,Jules Michelet,,
62768,foaf:Person,,,,Bernard Miège,Bernard,Miège,Bernard Miège,,
62503,foaf:Person,,,,Dominique Laure Miermont,Dominique Laure,Miermont,Dominique Laure Miermont,,
61899,foaf:Person,,,,Nadia Mignolli,Nadia,Mignolli,Nadia Mignolli,,
299967,foaf:Person,,,,Morgane Mignon,Morgane,Mignon,Morgane Mignon,,
61697,foaf:Person,,,,Constantin Mihai,Constantin,Mihai,Constantin Mihai,,
62397,foaf:Person,,,,Peter Mika,Peter,Mika,Peter Mika,,
62671,foaf:Person,,,,Amy Milam,Amy,Milam,Amy Milam,,
62558,foaf:Person,,,,Katherine L. Milkman,Katherine L.,Milkman,Katherine L. Milkman,,
62522,foaf:Person,,,,Florence Millerand,Florence,Millerand,Florence Millerand,,
61924,foaf:Person,,,,Jacques Millet,Jacques,Millet,Jacques Millet,,
299919,foaf:Person,,,,Beren Millidge,Beren,Millidge,Beren Millidge,,
61987,foaf:Person,,,,Ian Milligan,Ian,Milligan,Ian Milligan,,
61140,foaf:Person,,,,Guy Mineau,Guy,Mineau,Guy Mineau,,
61570,foaf:Person,,,,Jean-Luc Minel,Jean-Luc,Minel,Jean-Luc Minel,,
299952,foaf:Person,,30,10,Etienne Mineur,Etienne,Mineur,Etienne Mineur,,
61229,foaf:Person,,,,Julià Minguillón,Julià,Minguillón,Julià Minguillón,,
62081,foaf:Person,,,,Grégory Miras,Grégory,Miras,Grégory Miras,,
